Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
login_discover001,Chrome 121.0.0.0,,,08-02-2024 13:28:56,08-02-2024 13:31:12,2m - 15.846s,PASSED
,,,,,,,
Test Cases/discover/discover007,Chrome 121.0.0.0,,,08-02-2024 13:28:57,08-02-2024 13:30:14,1m - 16.918s,PASSED
Start listener action : sampleBeforeTestCase,Chrome 121.0.0.0,,,08-02-2024 13:28:57,08-02-2024 13:29:04,7.108s,PASSED
"openBrowser("""")",Chrome 121.0.0.0,,,08-02-2024 13:29:04,08-02-2024 13:29:06,1.595s,PASSED
"navigateToUrl(""https://www.amazon.in/"")",Chrome 121.0.0.0,,,08-02-2024 13:29:06,08-02-2024 13:29:13,6.984s,PASSED
"click(findTestObject(""Object Repository/discover/discover007/Page_Online Shopping site in India Shop Onl_10c5f3/a_Amazon miniTV""))",Chrome 121.0.0.0,,,08-02-2024 13:29:13,08-02-2024 13:29:44,30.875s,PASSED
"click(findTestObject(""Object Repository/discover/discover007/Page_Amazon miniTV - Watch Free Web Series,_86fafa/span_Imported""))",Chrome 121.0.0.0,,,08-02-2024 13:29:44,08-02-2024 13:29:44,0.422s,PASSED
"click(findTestObject(""Object Repository/discover/discover007/Page_Watch Dubbed Web Series, Korean Drama,_0fb818/span_Web Series""))",Chrome 121.0.0.0,,,08-02-2024 13:29:44,08-02-2024 13:29:45,1.184s,PASSED
"click(findTestObject(""Object Repository/discover/discover007/Page_Watch Latest Web Series Online for Fre_49d131/span_Movies""))",Chrome 121.0.0.0,,,08-02-2024 13:29:45,08-02-2024 13:29:49,3.612s,PASSED
"click(findTestObject(""Object Repository/discover/discover007/Page_Watch Popular Movies  Short Films Onli_56b9b2/span_Romance""))",Chrome 121.0.0.0,,,08-02-2024 13:29:49,08-02-2024 13:29:50,1.085s,PASSED
"click(findTestObject(""Object Repository/discover/discover007/Page_Watch Trending Romantic Web Series  Mo_a46f5a/span_Comedy""))",Chrome 121.0.0.0,,,08-02-2024 13:29:50,08-02-2024 13:29:52,1.522s,PASSED
"click(findTestObject(""Object Repository/discover/discover007/Page_Watch Comedy Web Series, Short Films  _4c3a92/img_AppNavbar_mShopIcon__4UsHr""))",Chrome 121.0.0.0,,,08-02-2024 13:29:52,08-02-2024 13:29:56,4.682s,PASSED
"click(findTestObject(""Object Repository/discover/discover007/Page_Online Shopping site in India Shop Onl_10c5f3/a_Sell""))",Chrome 121.0.0.0,,,08-02-2024 13:29:56,08-02-2024 13:30:05,8.502s,PASSED
"click(findTestObject(""Object Repository/discover/discover007/Page_Amazon.in CrossShop1/a_Mobiles""))",Chrome 121.0.0.0,,,08-02-2024 13:30:05,08-02-2024 13:30:13,8.642s,PASSED
closeBrowser(),Chrome 121.0.0.0,,,08-02-2024 13:30:13,08-02-2024 13:30:14,0.416s,PASSED
Start listener action : sampleAfterTestCase,Chrome 121.0.0.0,,,08-02-2024 13:30:14,08-02-2024 13:30:14,0.012s,PASSED
,,,,,,,
